-0.04,-0.00,0.30
-0.18,0.33,0.33
1.57,0.39,-0.20
1.71,-0.75,-0.69
1.50,-1.86,-1.42
0.59,-2.11,-1.55
0.88,-1.65,-2.08
0.98,-1.05,-2.67
0.73,-0.75,-3.19
0.68,-0.26,-3.61
0.74,0.11,-4.01
0.63,0.26,-4.41
0.65,0.31,-4.90
0.60,0.36,-5.43
0.38,0.10,-6.06
0.56,0.06,-6.60
0.36,-0.07,-6.96
0.07,-0.95,-7.12
-0.26,-2.47,-6.64
-0.68,-4.12,-5.89
-0.34,-5.19,-5.22
-0.21,-5.52,-4.70
-0.33,-6.87,-4.24
-0.56,-7.98,-4.16
-0.03,-9.25,-3.15
0.23,-10.51,-2.10
0.11,-11.45,-1.13
0.46,-12.12,-0.19
0.51,-13.20,0.70
0.41,-13.50,1.47
0.04,-13.87,2.37
-0.17,-15.35,2.88
-0.52,-17.30,3.27
-1.11,-19.34,3.54
-1.58,-21.31,3.69
-2.20,-23.67,3.80
-2.88,-25.68,4.28
-3.63,-27.23,4.63
-4.40,-28.49,5.12
-4.86,-29.27,5.76
-5.25,-29.85,6.51
-5.62,-30.25,7.26
-5.78,-30.54,8.14
-5.80,-30.67,9.20
-5.79,-30.56,10.23
-5.78,-30.37,11.27
-5.75,-30.05,12.29
-5.78,-29.39,13.23
-6.09,-28.35,14.12
-6.38,-27.14,15.02
-6.83,-25.21,15.76
-7.44,-23.08,16.39
-8.38,-20.58,17.01
-10.16,-17.08,17.70
-12.54,-12.93,18.14
-13.64,-6.58,17.74
-12.57,0.64,17.18
-10.31,5.84,17.31
-8.22,10.33,17.71
-6.94,13.04,18.12
-6.94,15.57,18.04
-6.69,18.26,18.10
-6.47,20.27,18.24
-4.91,21.30,18.70
-3.20,21.11,19.36
-2.24,20.64,19.99
-1.38,19.80,20.72
-0.40,18.91,21.59
0.61,17.81,22.64
0.99,16.94,23.70
1.10,15.93,24.80
1.10,14.77,25.95
1.34,13.71,27.21
1.62,12.40,28.73
1.86,11.41,30.29
1.85,9.96,31.74
2.11,8.13,33.14
2.71,5.79,34.70
2.69,2.97,36.10
2.14,-0.91,37.62
2.73,-4.09,38.84
3.75,-6.62,39.38
3.77,-10.26,39.18
3.30,-14.04,38.79
2.68,-17.31,36.74
2.41,-18.90,34.84
3.21,-19.41,32.92
3.62,-20.00,31.76
3.66,-22.81,30.99
3.34,-24.83,30.62
3.23,-25.71,30.03
3.21,-26.28,29.53
3.25,-26.81,29.08
3.31,-27.41,28.55
3.38,-27.80,27.74
3.38,-27.61,26.56
3.19,-27.13,27.00
3.07,-26.67,27.39
3.08,-26.45,27.90
3.11,-26.35,28.46
3.14,-26.35,28.99
3.24,-26.49,29.56
3.38,-26.50,30.20
3.42,-26.17,30.88
3.33,-25.77,31.61
3.19,-25.46,32.41
3.26,-25.55,33.25
3.38,-25.80,34.10
3.35,-25.88,34.93
3.31,-25.69,35.75
3.27,-25.42,36.57
3.21,-25.17,37.42
3.17,-25.28,38.37
3.20,-25.44,39.37
3.09,-25.36,40.40
2.93,-25.05,41.43
2.80,-24.56,42.47
2.70,-24.14,43.52
2.78,-23.91,44.54
2.83,-23.73,45.54
2.84,-23.53,46.53
2.80,-23.37,47.57
2.72,-23.32,48.65
2.67,-23.29,49.73
2.69,-23.31,50.80
2.63,-23.23,51.86
2.53,-23.12,52.92
2.43,-22.94,54.02
2.28,-22.71,55.18
2.17,-22.49,56.35
2.19,-22.40,57.54
2.19,-22.27,58.69
2.11,-22.16,59.85
2.07,-22.12,61.03
2.04,-22.18,62.26
2.05,-22.23,63.48
2.06,-22.28,64.69
2.05,-22.25,65.88
2.04,-22.18,67.08
2.05,-22.07,68.27
2.02,-21.87,69.49
1.98,-21.67,70.70
1.94,-21.54,71.91
1.93,-21.42,73.13
1.92,-21.35,74.38
1.90,-21.36,75.65
1.95,-21.34,76.92
1.97,-21.28,78.17
