-1.11,0.28,1.24
-2.07,0.52,2.45
-2.92,0.78,3.63
-3.67,1.01,4.79
-4.32,1.21,5.91
-4.91,1.44,6.99
-5.45,1.62,6.86
-5.92,1.80,6.72
-6.36,1.97,6.58
-6.71,2.15,6.45
-7.03,2.34,6.32
-7.33,2.53,6.19
-7.64,2.73,6.09
-7.89,2.68,5.96
-8.09,2.77,5.83
-8.28,2.86,5.71
-8.45,3.00,5.58
-8.60,3.08,5.46
-8.72,3.18,5.34
-8.81,3.26,5.22
-8.89,3.32,5.10
-8.97,3.40,4.98
-9.04,3.45,4.87
-9.11,3.50,4.75
-9.14,3.53,4.65
-9.21,3.62,4.54
-9.28,3.70,4.43
-9.32,3.74,4.32
-9.35,3.79,4.22
-9.37,3.80,4.13
-9.39,3.83,4.04
-9.42,3.87,3.95
-9.43,3.89,3.86
-9.46,3.92,3.77
-9.48,3.92,3.68
-9.49,3.96,3.61
-9.50,3.96,3.54
-9.50,4.00,3.50
-9.53,4.00,3.44
-9.55,4.06,3.41
-9.62,4.13,3.38
-9.68,4.24,3.41
-9.83,4.34,3.51
-9.96,4.51,3.82
-10.13,4.76,4.31
-10.24,5.23,4.72
-10.69,6.12,4.85
-11.29,7.38,4.68
-11.87,8.77,4.42
-12.68,10.23,4.22
-13.33,11.22,4.18
-13.26,12.15,4.22
-12.89,12.80,4.48
-13.11,13.50,4.88
-12.77,14.05,5.21
-12.63,14.25,5.33
-12.43,14.66,5.46
-12.64,15.21,5.55
-12.93,15.49,5.66
-13.20,15.43,5.93
-13.68,15.27,6.36
-13.99,14.91,6.86
-14.05,14.62,7.27
-14.15,14.73,7.61
-14.47,15.15,7.91
-15.09,16.00,8.05
-15.91,17.11,8.02
-17.04,18.12,8.13
-18.42,19.35,8.25
-20.11,20.63,8.52
-21.92,21.76,8.83
-22.96,22.78,8.94
-22.40,23.71,9.15
-21.51,24.09,9.63
-20.94,24.55,10.07
-20.25,24.39,10.65
-19.70,23.33,11.23
-18.98,21.29,11.78
-17.95,18.75,12.59
-16.97,16.12,13.32
-16.28,13.44,14.02
-15.92,10.75,14.70
-15.99,6.83,15.53
-15.66,2.49,16.12
-15.28,-2.05,17.19
-15.46,-6.77,18.30
-15.24,-11.54,18.95
-15.42,-15.46,19.55
-16.02,-19.14,20.26
-16.55,-22.36,20.84
-17.17,-24.39,21.48
-17.75,-26.95,22.17
-18.25,-29.13,22.73
-18.74,-30.91,23.27
-19.13,-32.91,23.78
-19.48,-34.38,24.15
-20.28,-34.87,24.31
-21.05,-35.26,24.22
-21.64,-35.29,24.04
-22.03,-35.95,23.83
-22.27,-37.10,23.48
-22.63,-37.82,23.17
-22.83,-38.07,22.75
-22.84,-37.99,22.13
-22.96,-37.74,21.54
-23.02,-37.57,20.93
-23.13,-37.48,20.58
-23.17,-37.78,20.13
-23.40,-37.46,19.67
-22.82,-37.32,19.12
-22.40,-37.12,18.58
-21.83,-37.28,17.67
-21.70,-36.90,16.66
-21.81,-36.42,15.75
-22.16,-35.00,14.74
-23.64,-33.20,14.18
-23.75,-30.75,12.97
-23.57,-28.90,11.60
-22.88,-27.95,9.87
-22.27,-26.37,8.18
-21.48,-24.17,6.28
-20.93,-21.88,4.60
-20.93,-19.92,3.10
-20.98,-17.21,1.57
-20.82,-13.56,-0.08
-20.91,-9.71,-1.95
-20.32,-7.27,-3.45
-20.42,-5.20,-4.58
-19.83,-3.22,-5.55
-19.14,-1.05,-6.53
-18.55,1.30,-7.59
-18.21,3.43,-8.57
-17.98,5.48,-8.98
-17.61,7.73,-9.27
-17.22,9.77,-9.43
-16.81,11.49,-9.45
-16.43,13.04,-9.40
-15.99,14.53,-9.29
-15.47,15.72,-9.21
-14.90,16.69,-9.02
-14.35,17.66,-8.77
-13.77,18.57,-8.51
-13.09,19.83,-8.31
-12.40,21.17,-8.02
-11.84,22.32,-7.62
-11.40,23.08,-7.19
-10.92,23.70,-6.76
-10.60,24.13,-6.37
-10.35,24.33,-5.95
-10.17,24.12,-5.46
-9.93,23.56,-4.96
-9.59,22.91,-4.51
-9.37,22.48,-4.16
-9.18,22.12,-3.81
-9.03,21.71,-3.45
-8.98,21.03,-3.03
-8.84,19.99,-2.45
-8.62,18.71,-1.85
-8.33,17.44,-1.31
-8.09,16.16,-0.80
-7.97,14.93,-0.34
-7.95,13.61,0.08
-7.99,12.55,0.24
-8.10,11.82,0.29
-8.38,11.23,0.35
-8.68,10.61,0.42
-8.99,9.96,0.47
-9.16,9.54,0.52
-9.28,9.24,0.49
-9.36,9.09,0.43
